Nom,Carpeta,GB
Ina baixos.mp4,/Volumes/INTENSO/!MARGARIDA/!Margarida Escriptori 2012/Mòbil Margarida/20111226,0.0075052370000000005
Ina habitacio.mp4,/Volumes/INTENSO/!MARGARIDA/!Margarida Escriptori 2012/Mòbil Margarida/20111226,0.007548546000000001
Ina terrat.mp4,/Volumes/INTENSO/!MARGARIDA/!Margarida Escriptori 2012/Mòbil Margarida/20111226,0.0032314460000000002
20140215_194954.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.056991336000000004
20140215_195119.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.19835696300000003
20140215_195256.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.013007031
20140312_105344.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.041666892000000004
20140315_125529.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.5628274550000001
20140315_130000.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,1.436417089
20140414_202342.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.08350030600000001
20140424_233910.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.255413265
20140424_234525.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.436592344
20140428_200014.mp4,/Volumes/INTENSO/!MARGARIDA/Margarida setmanal 2013-2015/2015-01/Fotos Samsung Camera DCIM en Card i en Phone,0.032655613
8ACDB86E-2804-4292-A4E6-49EF3527EE65.mp4,/Volumes/INTENSO/!Windows 10 antic (recuperat)/Desktop/Multimedia/audio diferent format,0.073789666
Juego de tronos.avi,/Volumes/INTENSO/!Windows 10 antic (recuperat)/Desktop/Pendent/per reordenar escriptori/z_enric,0.760426496
Bajo la arena.mkv,/Volumes/INTENSO/Movies,4.5888653790000005
Bar Bahar. Entre dos mundos.mkv,/Volumes/INTENSO/Movies,4.309532335
Billy Lynns.mkv,/Volumes/INTENSO/Movies,4.853419024
Casi leyendas.mkv,/Volumes/INTENSO/Movies,2.9969057030000004
Certain Women Vidas de mujer.mkv,/Volumes/INTENSO/Movies,4.883501306
Colossal.mkv,/Volumes/INTENSO/Movies,3.607948082
Dejame.salir.BRS.mkv,/Volumes/INTENSO/Movies,3.8233661000000003
El Fundador.mkv,/Volumes/INTENSO/Movies,5.2421592530000005
El guardian invisible.mkv,/Volumes/INTENSO/Movies,5.321188568
El imperio de las sombras.mkv,/Volumes/INTENSO/Movies,5.734661141
El ultimo beso del Kaiser.mkv,/Volumes/INTENSO/Movies,4.410975177
El viajante.mkv,/Volumes/INTENSO/Movies,5.1854236270000005
Elvis Nixon.mkv,/Volumes/INTENSO/Movies,3.937375888
Fast & Furious 8 BRScreener.mkv,/Volumes/INTENSO/Movies,4.813859128000001
Fences.mkv,/Volumes/INTENSO/Movies,6.0074824520000005
Gold.mkv,/Volumes/INTENSO/Movies,4.869263407
Hasta los huesos.mkv,/Volumes/INTENSO/Movies,4.649891709
Headshot.mkv,/Volumes/INTENSO/Movies,4.819106293
Historia de una pasion.mkv,/Volumes/INTENSO/Movies,5.251179593000001
